Season,Season Start,Team Name,Position,Goals Scored,Points,PointsPerGame,Yellow Cards,Red Cards,Fouls Conceded Per 90,Offsides Per 90,Fouls Recieved Per 90,Average Attendance,Division
2018/2019,2018,Hull,13,66,62,1.63,69,1,10.8,1.8,10.7,12165,2
2018/2019,2018,Preston,14,67,61,1.61,69,7,10.2,1.7,12.3,14160,2
2018/2019,2018,Blackburn,15,64,60,1.58,73,2,11.5,1.6,11.1,14550,2
2018/2019,2018,Stoke,16,45,55,1.45,71,5,11.5,1.8,11.7,25200,2
2018/2019,2018,Birmingham,17,64,52,1.37,81,3,13.8,1.2,11.0,22483,2
2018/2019,2018,Wigan,18,51,52,1.37,91,4,13,1.7,13.1,11663,2
2018/2019,2018,Queens Park Rangers,19,53,51,1.34,92,1,14.9,1.5,11.6,13866,2
2018/2019,2018,Reading,20,49,47,1.24,81,3,11.7,1.2,12.2,14991,2
2018/2019,2018,Millwall,21,48,44,1.16,78,1,12.2,1.7,10.9,13636,2
2018/2019,2018,Rotherham,22,52,40,1.05,71,3,13.1,1.3,10.3,9880,2
2018/2019,2018,Bolton,23,29,33,0.87,75,4,13.6,1.5,10.6,14636,2
2018/2019,2018,Ipswich,24,36,31,0.82,74,5,14,1.6,11.6,17765,2
2019/2020,2019,Leeds,1,77,93,2.45,73,2,11.6,2.6,12.6,35321,2
2019/2020,2019,West Bromwich Albion,2,77,83,2.18,84,3,12.4,1.7,11.8,24053,2
2019/2020,2019,Brentford,3,80,81,2.13,52,1,10.6,1.8,11.0,11699,2
2019/2020,2019,Fulham,4,64,81,2.13,81,5,11.7,1.5,11.7,18204,2
2019/2020,2019,Cardiff,5,68,73,1.92,70,2,13.2,1.5,10.8,22822,2
2019/2020,2019,Swansea,6,62,70,1.84,70,4,10.7,1.8,12.5,16151,2
2019/2020,2019,Nottingham Forest,7,58,70,1.84,80,1,11.4,2,11.2,27724,2
2019/2020,2019,Millwall,8,57,68,1.79,69,3,11.1,1.4,11.7,13734,2
2019/2020,2019,Preston,9,59,66,1.74,63,2,11.5,1.6,11.6,13579,2
2019/2020,2019,Derby,10,62,64,1.68,84,6,11.8,1.4,11.2,26727,2
2019/2020,2019,Blackburn,11,66,63,1.66,70,3,11.8,2,12.6,13873,2
2019/2020,2019,Bristol City,12,60,63,1.66,63,3,11,1.7,11.7,21810,2
2019/2020,2019,Wigan,13,57,59,1.55,85,6,13.5,1.6,12.6,10592,2
2019/2020,2019,Queens Park Rangers,14,67,58,1.53,83,3,12.7,1.8,12.5,13721,2
2019/2020,2019,Reading,15,59,56,1.47,73,3,12.2,1.5,12.7,14407,2
2019/2020,2019,Stoke,16,62,56,1.47,62,2,12.3,1.4,12.3,22828,2
2019/2020,2019,Sheffield Wednesday,17,58,56,1.47,82,5,15.2,1.9,10.3,23733,2
2019/2020,2019,Middlesbrough,18,48,53,1.39,75,5,13.1,1.8,12.5,19933,2
2019/2020,2019,Huddersfield,19,52,51,1.34,84,2,13,1.2,12.7,21748,2
2019/2020,2019,Luton,20,54,51,1.34,75,0,10.8,2,12.7,10048,2
2019/2020,2019,Birmingham,21,54,50,1.32,86,2,13.6,1.8,9.7,20412,2
2019/2020,2019,Barnsley,22,49,49,1.29,94,1,13.3,1.8,11.0,14061,2
2019/2020,2019,Charlton,23,50,48,1.26,102,0,12.5,2,12.8,18017,2
2019/2020,2019,Hull,24,57,45,1.18,73,2,13.4,2.2,10.6,11553,2
2020/2021,2020,Norwich,1,75,97,2.55,60,4,10.6,1.5,13.7,0,2
2020/2021,2020,Watford,2,63,91,2.39,80,2,13.6,1.8,11.6,0,2
2020/2021,2020,Brentford,3,79,87,2.29,50,3,12.4,1.2,12.7,0,2
2020/2021,2020,Swansea,4,56,80,2.11,66,1,11.7,2.7,12.6,0,2
2020/2021,2020,Barnsley,5,58,78,2.05,67,3,13,1.8,10.2,0,2
2020/2021,2020,Bournemouth,6,73,77,2.03,65,3,12.1,1.8,13.2,0,2
2020/2021,2020,Reading,7,62,70,1.84,48,0,11,1.5,14.9,0,2
2020/2021,2020,Cardiff,8,66,68,1.79,74,4,13.5,2.2,12.0,0,2
2020/2021,2020,Queens Park Rangers,9,57,68,1.79,79,3,12.3,2,9.6,0,2
2020/2021,2020,Middlesbrough,10,55,64,1.68,61,2,11.8,2.2,13.7,0,2
2020/2021,2020,Millwall,11,47,62,1.63,59,1,12.2,1.6,11.4,0,2
2020/2021,2020,Luton,12,41,62,1.63,56,2,12.3,2.5,12.0,0,2
2020/2021,2020,Preston,13,49,61,1.61,52,3,12.1,2.3,10.4,0,2
2020/2021,2020,Stoke,14,50,60,1.58,75,4,12.8,1.9,11.7,0,2
2020/2021,2020,Blackburn,15,65,57,1.50,69,1,11.7,2.3,12.0,0,2
2020/2021,2020,Coventry,16,49,55,1.45,53,5,12.4,2.1,13.4,0,2
2020/2021,2020,Nottingham Forest,17,37,52,1.37,66,4,12.9,1.7,12.0,0,2
2020/2021,2020,Birmingham,18,37,52,1.37,70,4,14.8,2.3,10.0,0,2
2020/2021,2020,Bristol City,19,46,51,1.34,53,2,11.2,1.5,11.7,0,2
2020/2021,2020,Huddersfield,20,50,49,1.29,66,3,12.1,1.7,11.7,0,2
2020/2021,2020,Derby,21,36,44,1.16,75,1,12.1,1.7,12.0,0,2
2020/2021,2020,Wycombe,22,39,43,1.13,69,4,13.6,1.6,11.7,0,2
2020/2021,2020,Rotherham,23,44,42,1.11,80,5,14,1.9,11.8,0,2
2020/2021,2020,Sheffield Wednesday,24,40,41,1.08,67,7,12.6,1.7,10.7,0,2
2021/2022,2021,Fulham,1,106,90,2.37,70,2,10.3,1.6,10.4,17774,2
2021/2022,2021,Bournemouth,2,74,88,2.32,101,5,11.5,1,9.9,9588,2
2021/2022,2021,Huddersfield,3,64,82,2.16,73,0,9,1.8,9.9,17325,2
2021/2022,2021,Nottingham Forest,4,73,80,2.11,85,3,10.8,2,12.0,27137,2
2021/2022,2021,Sheffield United,5,63,75,1.97,87,2,10.9,2.3,9.2,27611,2
2021/2022,2021,Luton,6,63,75,1.97,89,2,12.2,2.7,10.3,9857,2
2021/2022,2021,Middlesbrough,7,59,70,1.84,101,3,10.2,1.6,12.5,21825,2
2021/2022,2021,Blackburn,8,59,69,1.82,107,5,11,2.4,10.5,13481,2
2021/2022,2021,Millwall,9,53,69,1.82,84,0,10.8,1.9,9.9,12950,2
2021/2022,2021,West Bromwich Albion,10,52,67,1.76,80,7,10.9,1.4,9.7,21481,2
2021/2022,2021,Queens Park Rangers,11,60,66,1.74,87,3,10.5,1.7,10.8,14437,2
2021/2022,2021,Coventry,12,60,64,1.68,77,3,11,1.8,9.7,19541,2
2021/2022,2021,Preston,13,52,64,1.68,88,4,11.8,2,9.5,12608,2
2021/2022,2021,Stoke,14,57,62,1.63,88,4,10.6,1.7,9.5,20921,2
2021/2022,2021,Swansea,15,58,61,1.61,85,4,9.5,2,11.9,17389,2
2021/2022,2021,Blackpool,16,54,60,1.58,69,2,9.9,2,11.3,12104,2
2021/2022,2021,Bristol City,17,62,55,1.45,87,1,10.1,2.3,10.2,19250,2
2021/2022,2021,Cardiff,18,50,53,1.39,104,3,11.8,2,8.1,18869,2
2021/2022,2021,Hull,19,41,51,1.34,72,3,10.2,2.6,10.2,12888,2
2021/2022,2021,Birmingham,20,50,47,1.24,81,4,12.2,1.8,8.9,16162,2
2021/2022,2021,Reading,21,54,41,1.08,70,1,9.8,2,12.0,12766,2
2021/2022,2021,Peterborough,22,43,37,0.97,83,2,10.7,1.7,11.2,10088,2
2021/2022,2021,Derby,23,45,34,0.89,90,7,9.7,1.9,11.1,23010,2
2021/2022,2021,Barnsley,24,33,30,0.79,84,0,11.6,2,9.2,13263,2
2022/2023,2022,Burnley,1,87,101,2.66,83,2,9.8,2.1,10.7,19953,2
2022/2023,2022,Sheffield United,2,73,91,2.39,102,3,10.5,1.6,9.4,28746,2
2022/2023,2022,Luton,3,57,80,2.11,88,4,12.4,2,9.8,9854,2
2022/2023,2022,Middlesbrough,4,84,75,1.97,87,3,10.1,1.8,11.0,26012,2
2022/2023,2022,Coventry,5,58,70,1.84,92,3,10.6,1.5,9.6,20385,2
2022/2023,2022,Sunderland,6,68,69,1.82,93,4,10.5,1.6,12.6,39046,2
2022/2023,2022,Blackburn,7,52,69,1.82,94,3,10,1.8,9.5,14772,2
2022/2023,2022,Millwall,8,57,68,1.79,82,0,11,1.9,9.8,14767,2
2022/2023,2022,West Bromwich Albion,9,59,66,1.74,75,1,9.7,1.6,10.0,23094,2
2022/2023,2022,Swansea,10,68,66,1.74,109,3,10,2,11.7,16821,2
2022/2023,2022,Watford,11,56,63,1.66,98,3,11.7,1.9,11.1,19172,2
2022/2023,2022,Preston,12,45,63,1.66,100,4,11.2,1.7,9.6,16119,2
2022/2023,2022,Norwich,13,57,62,1.63,87,4,10,1.4,11.2,26069,2
2022/2023,2022,Bristol City,14,55,59,1.55,85,2,9.6,1.7,10.3,20374,2
2022/2023,2022,Hull,15,51,58,1.53,74,2,10.7,2.1,9.1,17973,2
2022/2023,2022,Stoke,16,55,53,1.39,83,1,12,1.4,10.1,20570,2
2022/2023,2022,Birmingham,17,47,53,1.39,95,0,11.5,1.2,9.8,16758,2
2022/2023,2022,Huddersfield,18,47,53,1.39,83,3,9.9,1.7,9.1,18978,2
2022/2023,2022,Rotherham,19,49,50,1.32,91,2,10.9,1.5,8.9,10515,2
2022/2023,2022,Queens Park Rangers,20,44,50,1.32,87,0,11.1,1.5,10.6,14977,2
2022/2023,2022,Cardiff,21,41,49,1.29,82,5,9.6,1.6,10.1,19455,2
2022/2023,2022,Reading,22,46,44,1.16,95,2,10.6,1.1,10.2,14027,2
2022/2023,2022,Blackpool,23,48,44,1.16,78,9,10.6,1.4,11.3,12192,2
2022/2023,2022,Wigan,24,38,42,1.11,84,2,10.9,1.7,10.7,12210,2
2023/2024,2023,Leicester,1,89,97,2.55,86,1,10.3,1.7,10.5,31238,2
2023/2024,2023,Ipswich,2,92,96,2.53,101,0,12.3,1.8,10.2,28845,2
2023/2024,2023,Leeds,3,81,90,2.37,72,2,10,2.1,12.2,35989,2
2023/2024,2023,Southampton,4,87,87,2.29,103,3,9.8,1.8,11.8,29373,2
2023/2024,2023,West Bromwich Albion,5,70,75,1.97,79,1,8.2,1.8,10.1,24057,2
2023/2024,2023,Norwich,6,79,73,1.92,85,2,10,2.3,10.8,26077,2
2023/2024,2023,Hull,7,68,70,1.84,101,1,9.7,1.8,12.3,21980,2
2023/2024,2023,Middlesbrough,8,71,69,1.82,83,2,10.7,2.2,10.4,26905,2
2023/2024,2023,Coventry,9,70,64,1.68,90,3,11.4,1.7,11.4,25468,2
2023/2024,2023,Preston,10,56,63,1.66,110,1,12.7,1.8,9.3,16720,2
2023/2024,2023,Bristol City,11,53,62,1.63,71,1,9.7,1.9,10.2,22813,2
2023/2024,2023,Cardiff,12,53,62,1.63,80,1,9.5,1.2,9.6,21213,2
2023/2024,2023,Millwall,13,45,59,1.55,105,2,12.8,1.7,9.1,16540,2
2023/2024,2023,Swansea,14,59,57,1.50,90,4,10.3,1.9,12.0,16574,2
2023/2024,2023,Watford,15,61,56,1.47,100,3,12.6,1.7,10.2,18876,2
2023/2024,2023,Sunderland,16,52,56,1.47,91,2,10.1,1.9,13.0,41028,2
2023/2024,2023,Stoke,17,49,56,1.47,108,3,12.6,2.1,9.3,22742,2
2023/2024,2023,Queens Park Rangers,18,47,56,1.47,98,4,12,1.8,10.6,16678,2
2023/2024,2023,Blackburn,19,60,53,1.39,93,5,10.4,2.3,9.0,15583,2
2023/2024,2023,Sheffield Wednesday,20,44,53,1.39,104,5,12.4,1.7,9.6,26762,2
2023/2024,2023,Plymouth,21,59,51,1.34,100,2,10.1,1.5,11.3,16507,2
2023/2024,2023,Birmingham,22,50,50,1.32,100,3,12.7,1.7,10.3,21180,2
2023/2024,2023,Huddersfield,23,48,45,1.18,87,2,10.8,2.1,11.5,19418,2
2023/2024,2023,Rotherham,24,37,27,0.71,82,4,11.5,1.8,8.8,10674,2
